type,geometry.type,geometry.coordinates,properties.SUBTYPECD,properties.GRID_ADDRE,properties.WATTS,properties.FIXTURE_ST,properties.DECAL_COLO,properties.DECAL_NUMB,properties.LAMP_CD,properties.USE_CD,properties.MOUNT_HEIG,properties.OWNER,properties.BRACKET_CD,properties.BRACKET_LN,properties.INSTALL_DA,properties.RELATEDPOL,properties.FIRSTONPOL,properties.BRIDGE_IND,properties.MATERIAL_C,properties.STYLE,properties.WORK_EFFEC,properties.WORK_REQUE,properties.LUMENS,properties.CONTRACT_N,properties.NOM_VOLT,properties.SYMBOLROTA,properties.SUBMISSION,properties.WORKREQUES,properties.DESIGNID,properties.WORKLOCATI,properties.WORKFLOWST,properties.WORKFUNCTI,properties.ENABLED,properties.NONSTANDAR,properties.NONSTAND_1,properties.STREETLIGH,properties.PREMISE_ID,properties.ISWATCHLIG,properties.INSPECTION,properties.BASIC_PREM,properties.CUID,properties.PATTERN,properties.COLOR_TEMP,properties.BASE_COLOR,long,lat,copyright,date,pano_id,status,view_lat,view_long
Feature,Point,"[-78.503189, 38.043773]",1,F2326VB9400,150,ENFL,YLO,15,HPS,STL,0,DOM,,,2015/06/11,16117048,YES,NO,W,STD,2015/06/11,7687623,14000,374030,0,126.0,CHV01,,,,0,0,1,,,CPR,0,,,,,,,,-78.503189,38.043773,© Google,2019-07,H_bUMNgp53Src9vSkWCKWA,OK,38.0438187,-78.5032272
Feature,Point,"[-78.490076, 38.044905]",1,G0026FC5400,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,881064,YES,NO,W,STD,2016/12/19,7777777,14000,374030,0,358.0,CHV01,CONF,,,0,0,1,,,,0,,,,,,,,-78.490076,38.044905,© Google,2012-08,q-qdgX8jteO94XGhslJG5A,OK,38.04490522674061,-78.48999385605255
Feature,Point,"[-78.50347, 38.043664]",1,F2326VB8400,150,ENFL,YLO,15,HPS,STL,0,DOM,,,2015/06/11,16117047,YES,NO,W,STD,2015/06/11,7687623,14000,374030,0,129.0,CHV01,,,,0,0,1,,,CPR,0,,,,,,,,-78.50347,38.043664,© Google,2019-07,Cpm-nRsxx6SVPAOL0ArXCA,OK,38.0436783,-78.5035288
Feature,Point,"[-78.48481, 38.029344]",1,G0025IG5000,250,ENCL,YLO,25,HPS,STL,0,,,,,494834,YES,NO,W,STD,,0,23000,374030,0,241.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.48481,38.029344,© Google,2016-10,Cjk56XxeRcFGU1iOZHsaLw,OK,38.02932647316919,-78.48484767760084
Feature,Point,"[-78.484053, 38.029167]",1,G0025IF9900,250,ENCL,YLO,25,HPS,STL,0,,,,,879370,YES,NO,W,STD,,0,23000,374030,0,240.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.484053,38.029167,© Google,2019-07,1ymnAMVIcxjw7xQy6r0wkw,OK,38.02909946790012,-78.48406911871302
Feature,Point,"[-78.474484, 38.02764]",1,G0025OE5800,100,ENCL,YLO,10,HPS,STL,0,,,,,14163636,YES,NO,W,STD,,0,8000,374030,0,323.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47448399999998,38.02764000000001,© Google,2019-07,1taYkLuy9YPq0aJQ3CW5_w,OK,38.0276571,-78.4744089
Feature,Point,"[-78.475905, 38.025313]",1,G0025ND7100,150,ENCL,YLO,15,HPS,STL,0,,,,,567105,YES,NO,W,STD,,0,14000,374030,0,46.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.47590500000003,38.025313,© Google,2019-07,T5OJLYykw4JP_OHGB3Yapg,OK,38.02532698532717,-78.47585017848803
Feature,Point,"[-78.472987, 38.028691]",1,G0025PF3600,250,ENCL,YLO,25,HPS,STL,0,,,,,494919,YES,NO,W,STD,,0,23000,374030,0,246.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.472987,38.028691,© Google,2019-07,N6zAL3PqwIk8bqjrUXHLqw,OK,38.02865509535909,-78.47297327448338
Feature,Point,"[-78.467764, 38.018818]",1,G0024SN3500,150,ENCL,YLO,15,HPS,STL,0,DOM,,,2017/01/06,494844,YES,NO,W,STD,2017/01/06,31444955,14000,374030,0,237.0,CHV01,,,,0,0,1,,,UNK,0,,,,,,,,-78.467764,38.018818,© Google,2018-06,Ivz5lMFAxGpqt3TV9qSn9g,OK,38.0186403833749,-78.46795147636176
Feature,Point,"[-78.470752, 38.02124]",5,G0025QA7100,150,COXX,GRE,3,LED,STL,0,DOM,,,2019/06/24,14163729,YES,NO,W,STD,2019/06/24,32284211,3,374030,0,337.0,CHV01,,,,0,0,1,,,CREE,0,,,B,LEDCOXX0833GXXX,3.0,3.0,G,-78.470752,38.02124,© Google,2018-06,ApWISjYlHolkneFVhCu1iA,OK,38.0211836,-78.4706914
