geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.490206, 38.06321]",G0027FA5400,ENCL,-78.490206,38.06321,© Google,2019-07,gDsG9IUcHnFEUEfgKBd-uw,OK,38.06326232,-78.49037053,15.56310334,1,1,1,,,
"[-78.470346, 38.031307]",G0025QH8600,ENCL,-78.470346,38.031307,© Google,2019-07,INHJ8N_Xp8mtrkyTICQPXQ,OK,38.0313301,-78.4705223,15.6892085,,1,1,,,
"[-78.455346, 38.0245]",G0125BC5600,CTMP,-78.455346,38.0245,© Google,2019-07,dzAj0o15LarnS1MoruvlSA,OK,38.02442586,-78.45519375,15.69770795,1,1,1,,,
"[-78.471439, 38.054464]",G0026QJ3300,COLN,-78.471439,38.054464,© Google,2014-10,mktgM0lvaB47AUoaIskf_A,OK,38.0543758,-78.47157968,15.75742166,1,1,1,,,
"[-78.517841, 38.014711]",F2324NK6500,ENCL,-78.517841,38.014711,© Google,2012-07,crUGLPATPahnePNI5DGCkA,OK,38.0146543,-78.5176763,15.77308566,1,1,1,,,
"[-78.504131, 38.040083]",F2325VN5100,ENCL,-78.504131,38.040083,© Google,2017-07,Tx9SfFdT54-e_8-HUQb67w,OK,38.03994295,-78.50416146,15.77389932,1,1,1,,,
"[-78.506667, 38.027083]",F2325UE0300,ENCL,-78.506667,38.027083,© Google,2012-08,0ZEmOBX-Ra2gAZcoLh6QZg,OK,38.0270248,-78.5068328,15.92626903,1,1,1,,,
"[-78.514568, 38.015887]",F2324PL4900,ENCL,-78.514568,38.015887,© Google,2019-07,X4QbAxUS17q6ecFvKiN_Pw,OK,38.01593298,-78.51474013,15.95353545,,,,,,
"[-78.481912, 38.039432]",G0025KN3400,ENCL,-78.481912,38.039432,© Google,2018-06,6ccxBsDotUfsCMdePKPCtg,OK,38.03939889,-78.48173501,15.96554241,,1,1,,,
"[-78.496316, 38.018807]",G0024BN8400,ENCL,-78.496316,38.018807,© Google,2018-06,hHsq2CjWW1Nyx0fZ_9OzzA,OK,38.01873571,-78.49615783,15.98514892,1,1,1,,,
"[-78.493014, 38.022225]",G0025DA9900,ENCL,-78.493014,38.022225,© Google,2019-07,HYyQ1ARBjIBpSSJq-jodsQ,OK,38.02227769,-78.49318496,16.11003297,,,,,,
"[-78.470046, 38.06736]",G0027RD1400,ENCL,-78.470046,38.06736,© Google,2014-10,b4H0X4QRUSedvcHpon7f6w,OK,38.06735706,-78.47022966,16.12003833,1,1,1,,,
"[-78.471437, 38.069256]",G0027QE2900,COLN,-78.471437,38.069256,© Google,2019-07,N04Ea1Y3sUyiwzCeC1aLqQ,OK,38.0694014,-78.4714588,16.25205245,1,1,1,,,
"[-78.49146, 38.0332]",G0025EI8900,CTMP,-78.49146,38.0332,© Glenn Curtiss,2017-04,CAoSLEFGMVFpcFBTdmhXT3JLcS1OZ0tJd1BnN3MtcUNybFFsZ3RYX1p4VHlfZ3pT,OK,38.033053,-78.491445,16.36963055,,,,,,
"[-78.485633, 38.01332]",G0024HJ7400,ENFL,-78.485633,38.01332,© Google,2012-08,nrju2c02EFZOzJ240_2Uqw,OK,38.01346801,-78.4856322,16.42911959,1,1,1,,,
